gene_symbol, H3k27me3, H3k36me3, expression, MAE(T/F), tissue, organism
tubgcp5, , , 0.682, 0, H1ESC, human
tubgcp5, , , 0.611, 0, HSMM, human
tubgcp5, , , 0.714, 0, HUVEC, human
tubgcp5, , , 0.674, 0, HMEC, human
tubgcp5, , , 0.629, 0, HCC1954, human
tubgcp5, , , 0.646, 0, PBMC, human
tubgcp5, , , , NA, B_Cell, human
csf1r, 0.550, 0.456, 0.203, 1, Fibroblast, mouse
csf1r, 0.315, 0.475, 0.675, 0, Bcellcd43n, mouse
csf1r, 0.686, 0.363, 0.786, 1, Heart, mouse
csf1r, 0.212, 0.417, 0.785, 0, Kidney, mouse
csf1r, 0.581, 0.494, 0.772, 1, Liver, mouse
csf1r, 0.640, 0.503, 0.607, 1, SmIntestine, mouse
csf1r, 0.321, 0.534, 0.891, 0, Spleen, mouse
csf1r, 0.154, 0.449, 0.480, 0, Testis, mouse
csf1r, 0.390, 0.498, 0.672, 0, Thymus, mouse
csf1r, 0.641, 0.338, 0.338, 1, C2C12_EqS, mouse
csf1r, 0.621, 0.414, 0.429, 1, C2C12, mouse
csf1r, 0.717, 0.545, 0.465, 1, CH12, mouse
csf1r, 0.489, 0.472, 0.454, 1, E14_WholeBrain, mouse
csf1r, 0.751, 0.525, 0.733, 1, Erythroblast, mouse
csf1r, 0.544, 0.222, 0.398, 1, ESBruce4, mouse
csf1r, 0.806, 0.417, 0.306, 1, ES, mouse
csf1r, 0.964, 0.554, 0.389, 1, G1E_ER, mouse
csf1r, 0.935, 0.565, 0.417, 1, G1E, mouse
csf1r, 0.173, 0.939, 0.977, 0, Lymphoblast, mouse
csf1r, 0.856, 0.584, 0.851, 1, Megakaryocyte, mouse
csf1r, 0.893, 0.386, 0.312, 1, MEL, mouse
csf1r, 0.599, 0.425, 0.297, 1, NeuronalProgenitor_(EMTAB1822), mouse
csf1r, 0.599, 0.425, 0.297, 1, NeuronalProgenitor_(GSE54016), mouse
csf1r, 0.705, 0.437, 0.286, 1, Neuron, mouse
csf1r, , , , NA, Lymphoblast_PMC3334567, mouse
csf1r, , , 0.399, 1, GM12878, human
csf1r, , , 0.152, 1, K562, human
csf1r, , , 0.134, 1, H1ESC, human
csf1r, , , 0.420, 1, HSMM, human
csf1r, , , 0.164, 1, HUVEC, human
csf1r, , , 0.359, 1, HMEC, human
csf1r, , , 0.332, 1, HCC1954, human
csf1r, , , 0.399, 1, PBMC, human
csf1r, , , , NA, B_Cell, human
ctnnd1, 0.149, 0.785, 0.949, 0, Fibroblast, mouse
ctnnd1, 0.479, 0.485, 0.520, 1, Bcellcd43n, mouse
ctnnd1, 0.353, 0.986, 0.862, 0, Heart, mouse
ctnnd1, 0.563, 0.929, 0.845, 0, Kidney, mouse
ctnnd1, 0.191, 0.913, 0.855, 0, Liver, mouse
ctnnd1, 0.408, 0.904, 0.942, 0, SmIntestine, mouse
ctnnd1, 0.664, 0.584, 0.640, 1, Spleen, mouse
ctnnd1, 0.468, 0.902, 0.804, 0, Testis, mouse
ctnnd1, 0.766, 0.554, 0.608, 1, Thymus, mouse
ctnnd1, 0.339, 0.768, 0.875, 0, C2C12_EqS, mouse
ctnnd1, 0.106, 0.830, 0.898, 0, C2C12, mouse
ctnnd1, 0.700, 0.426, 0.468, 1, CH12, mouse
ctnnd1, 0.427, 0.854, 0.861, 0, E14_WholeBrain, mouse
ctnnd1, 0.088, 0.733, 0.694, 0, Erythroblast, mouse
ctnnd1, 0.242, 0.917, 0.946, 0, ESBruce4, mouse
ctnnd1, 0.093, 0.874, 0.874, 0, ES, mouse
ctnnd1, 0.049, 0.711, 0.720, 0, G1E_ER, mouse
ctnnd1, 0.033, 0.718, 0.771, 0, G1E, mouse
ctnnd1, 0.337, 0.889, 0.946, 0, Lymphoblast, mouse
ctnnd1, 0.071, 0.778, 0.649, 0, Megakaryocyte, mouse
ctnnd1, 0.075, 0.926, 0.744, 0, MEL, mouse
ctnnd1, 0.071, 0.846, 0.845, 0, NeuronalProgenitor_(EMTAB1822), mouse
ctnnd1, 0.071, 0.846, 0.845, 0, NeuronalProgenitor_(GSE54016), mouse
ctnnd1, 0.143, 0.734, 0.847, 0, Neuron, mouse
ctnnd1, , , , NA, Lymphoblast_PMC3334567, mouse
ctnnd1, , , 0.760, 0, GM12878, human
ctnnd1, , , 0.836, 0, K562, human
ctnnd1, , , 0.920, 0, H1ESC, human
ctnnd1, , , 0.935, 0, HSMM, human
ctnnd1, , , 0.953, 0, HUVEC, human
ctnnd1, , , 0.947, 0, HMEC, human
ctnnd1, , , 0.952, 0, HCC1954, human
ctnnd1, , , 0.760, 0, PBMC, human
ctnnd1, , , , NA, B_Cell, human
stk35, 0.209, 0.690, 0.681, 0, Fibroblast, mouse
stk35, 0.266, 0.703, 0.643, 0, Bcellcd43n, mouse
stk35, 0.309, 0.922, 0.630, 0, Heart, mouse
stk35, 0.305, 0.809, 0.681, 0, Kidney, mouse
stk35, 0.447, 0.798, 0.619, 0, Liver, mouse
stk35, 0.132, 0.758, 0.672, 0, SmIntestine, mouse
stk35, 0.299, 0.723, 0.466, 0, Spleen, mouse
stk35, 0.317, 0.799, 0.890, 0, Testis, mouse
stk35, 0.222, 0.757, 0.598, 0, Thymus, mouse
stk35, 0.184, 0.702, 0.661, 0, C2C12_EqS, mouse
stk35, 0.378, 0.870, 0.756, 0, C2C12, mouse
stk35, 0.225, 0.809, 0.728, 0, CH12, mouse
stk35, 0.253, 0.753, 0.641, 0, E14_WholeBrain, mouse
stk35, 0.164, 0.837, 0.820, 0, Erythroblast, mouse
stk35, 0.352, 0.878, 0.755, 0, ESBruce4, mouse
stk35, 0.343, 0.830, 0.744, 0, ES, mouse
stk35, 0.133, 0.790, 0.770, 0, G1E_ER, mouse
stk35, 0.217, 0.864, 0.751, 0, G1E, mouse
stk35, 0.358, 0.850, 0.709, 0, Lymphoblast, mouse
stk35, 0.248, 0.723, 0.782, 0, Megakaryocyte, mouse
stk35, 0.086, 0.766, 0.720, 0, MEL, mouse
stk35, 0.167, 0.816, 0.726, 0, NeuronalProgenitor_(EMTAB1822), mouse
stk35, 0.167, 0.816, 0.726, 0, NeuronalProgenitor_(GSE54016), mouse
stk35, 0.303, 0.747, 0.664, 0, Neuron, mouse
stk35, , , , NA, Lymphoblast_PMC3334567, mouse
stk35, , , 0.642, 0, GM12878, human
stk35, , , 0.550, 0, K562, human
stk35, , , 0.738, 0, H1ESC, human
stk35, , , 0.608, 0, HSMM, human
stk35, , , 0.659, 0, HUVEC, human
stk35, , , 0.695, 0, HMEC, human
stk35, , , 0.836, 0, HCC1954, human
stk35, , , 0.642, 0, PBMC, human
stk35, , , , NA, B_Cell, human
kiaa1107, , , 0.445, 1, GM12878, human
kiaa1107, , , 0.496, 1, K562, human
kiaa1107, , , 0.515, 0, H1ESC, human
kiaa1107, , , 0.473, 0, HSMM, human
kiaa1107, , , 0.512, 0, HUVEC, human
kiaa1107, , , 0.404, 0, HMEC, human
kiaa1107, , , 0.464, 0, HCC1954, human
kiaa1107, , , 0.445, 0, PBMC, human
kiaa1107, , , , NA, B_Cell, human
p2ry13, 0.850, 0.512, 0.203, 1, Fibroblast, mouse
p2ry13, 0.670, 0.330, 0.751, 1, Bcellcd43n, mouse
p2ry13, 0.480, 0.497, 0.223, 1, Heart, mouse
p2ry13, 0.598, 0.344, 0.189, 1, Kidney, mouse
p2ry13, 0.414, 0.563, 0.195, 0, Liver, mouse
p2ry13, 0.734, 0.392, 0.478, 1, SmIntestine, mouse
p2ry13, 0.305, 0.432, 0.923, 0, Spleen, mouse
p2ry13, 0.039, 0.432, 0.117, 0, Testis, mouse
p2ry13, 0.870, 0.614, 0.775, 1, Thymus, mouse
p2ry13, 0.577, 0.093, 0.107, 1, C2C12_EqS, mouse
p2ry13, 0.608, 0.110, 0.114, 1, C2C12, mouse
p2ry13, 0.118, 0.477, 0.596, 0, CH12, mouse
p2ry13, 0.092, 0.442, 0.508, 0, E14_WholeBrain, mouse
p2ry13, 0.033, 0.244, 0.482, 0, Erythroblast, mouse
p2ry13, 0.533, 0.485, 0.405, 1, ESBruce4, mouse
p2ry13, 0.385, 0.267, 0.092, 0, ES, mouse
p2ry13, 0.772, 0.024, 0.152, 1, G1E_ER, mouse
p2ry13, 0.565, 0.117, 0.095, 1, G1E, mouse
p2ry13, 0.223, 0.432, 0.556, 0, Lymphoblast, mouse
p2ry13, 0.014, 0.734, 0.134, 0, Megakaryocyte, mouse
p2ry13, 0.670, 0.368, 0.097, 1, MEL, mouse
p2ry13, 0.172, 0.468, 0.080, 0, NeuronalProgenitor_(EMTAB1822), mouse
p2ry13, 0.172, 0.468, 0.080, 0, NeuronalProgenitor_(GSE54016), mouse
p2ry13, 0.543, 0.452, 0.085, 1, Neuron, mouse
p2ry13, , , , NA, Lymphoblast_PMC3334567, mouse
p2ry13, , , 0.141, 1, GM12878, human
p2ry13, , , 0.152, 1, K562, human
p2ry13, , , 0.134, 0, H1ESC, human
p2ry13, , , 0.118, 1, HSMM, human
p2ry13, , , 0.164, 1, HUVEC, human
p2ry13, , , 0.123, 0, HMEC, human
p2ry13, , , 0.259, 0, HCC1954, human
p2ry13, , , 0.141, 1, PBMC, human
p2ry13, , , , NA, B_Cell, human
sec11a, 0.252, 0.962, 0.786, 0, Fibroblast, mouse
sec11a, 0.275, 0.770, 0.766, 0, Bcellcd43n, mouse
sec11a, 0.302, 0.810, 0.756, 0, Heart, mouse
sec11a, 0.305, 0.844, 0.871, 0, Kidney, mouse
sec11a, 0.205, 0.840, 0.784, 0, Liver, mouse
sec11a, 0.129, 0.856, 0.735, 0, SmIntestine, mouse
sec11a, 0.218, 0.793, 0.794, 0, Spleen, mouse
sec11a, 0.494, 0.896, 0.688, 0, Testis, mouse
sec11a, 0.559, 0.879, 0.815, 0, Thymus, mouse
sec11a, 0.353, 0.848, 0.797, 0, C2C12_EqS, mouse
sec11a, 0.420, 0.794, 0.817, 0, C2C12, mouse
sec11a, 0.210, 0.768, 0.754, 0, CH12, mouse
sec11a, 0.236, 0.865, 0.739, 0, E14_WholeBrain, mouse
sec11a, 0.164, 0.783, 0.573, 0, Erythroblast, mouse
sec11a, 0.206, 0.861, 0.751, 0, ESBruce4, mouse
sec11a, 0.178, 0.836, 0.732, 0, ES, mouse
sec11a, 0.071, 0.775, 0.788, 0, G1E_ER, mouse
sec11a, 0.086, 0.817, 0.714, 0, G1E, mouse
sec11a, 0.319, 0.791, 0.886, 0, Lymphoblast, mouse
sec11a, 0.087, 0.721, 0.555, 0, Megakaryocyte, mouse
sec11a, 0.279, 0.916, 0.743, 0, MEL, mouse
sec11a, 0.351, 0.816, 0.745, 0, NeuronalProgenitor_(EMTAB1822), mouse
sec11a, 0.351, 0.816, 0.745, 0, NeuronalProgenitor_(GSE54016), mouse
sec11a, 0.108, 0.705, 0.697, 0, Neuron, mouse
sec11a, , , , NA, Lymphoblast_PMC3334567, mouse
sec11a, , , 0.917, 0, GM12878, human
sec11a, , , 0.942, 0, K562, human
sec11a, , , 0.950, 0, H1ESC, human
sec11a, , , 0.962, 0, HSMM, human
sec11a, , , 0.927, 0, HUVEC, human
sec11a, , , 0.943, 0, HMEC, human
sec11a, , , 0.953, 0, HCC1954, human
sec11a, , , 0.917, 0, PBMC, human
sec11a, , , , NA, B_Cell, human
chrm4, 0.916, 0.294, 0.563, 1, Fibroblast, mouse
chrm4, 0.935, 0.397, 0.264, 1, Bcellcd43n, mouse
chrm4, 0.917, 0.281, 0.554, 1, Heart, mouse
chrm4, 0.798, 0.225, 0.476, 1, Kidney, mouse
chrm4, 0.910, 0.193, 0.582, 1, Liver, mouse
chrm4, 0.947, 0.373, 0.498, 1, SmIntestine, mouse
chrm4, 0.924, 0.340, 0.575, 1, Spleen, mouse
chrm4, 0.929, 0.151, 0.567, 1, Testis, mouse
chrm4, 0.913, 0.174, 0.417, 1, Thymus, mouse
chrm4, 0.795, 0.176, 0.512, 1, C2C12_EqS, mouse
chrm4, 0.797, 0.452, 0.524, 1, C2C12, mouse
chrm4, 0.630, 0.827, 0.795, 0, CH12, mouse
chrm4, 0.969, 0.505, 0.621, 1, E14_WholeBrain, mouse
chrm4, 0.965, 0.441, 0.520, 1, Erythroblast, mouse
chrm4, 0.761, 0.368, 0.508, 1, ESBruce4, mouse
chrm4, 0.960, 0.538, 0.584, 1, ES, mouse
chrm4, 0.716, 0.594, 0.534, 1, G1E_ER, mouse
chrm4, 0.956, 0.541, 0.443, 1, G1E, mouse
chrm4, 0.872, 0.295, 0.154, 1, Lymphoblast, mouse
chrm4, 0.945, 0.553, 0.677, 1, Megakaryocyte, mouse
chrm4, 0.303, 0.685, 0.842, 0, MEL, mouse
chrm4, 0.915, 0.789, 0.897, 0, NeuronalProgenitor_(EMTAB1822), mouse
chrm4, 0.915, 0.789, 0.897, 0, NeuronalProgenitor_(GSE54016), mouse
chrm4, 0.943, 0.668, 0.639, 1, Neuron, mouse
chrm4, , , , NA, Lymphoblast_PMC3334567, mouse
chrm4, , , 0.455, 1, GM12878, human
chrm4, , , 0.445, 0, K562, human
chrm4, , , 0.412, 1, H1ESC, human
chrm4, , , 0.445, 0, HSMM, human
chrm4, , , 0.396, 0, HUVEC, human
chrm4, , , 0.307, 1, HMEC, human
chrm4, , , 0.259, 0, HCC1954, human
chrm4, , , 0.455, 1, PBMC, human
chrm4, , , , NA, B_Cell, human
nxph3, 0.890, 0.168, 0.203, 1, Fibroblast, mouse
nxph3, 0.938, 0.293, 0.213, 1, Bcellcd43n, mouse
nxph3, 0.915, 0.186, 0.223, 1, Heart, mouse
nxph3, 0.814, 0.230, 0.189, 1, Kidney, mouse
nxph3, 0.965, 0.087, 0.195, 1, Liver, mouse
nxph3, 0.973, 0.352, 0.151, 1, SmIntestine, mouse
nxph3, 0.978, 0.463, 0.205, 1, Spleen, mouse
nxph3, 0.948, 0.226, 0.117, 1, Testis, mouse
nxph3, 0.976, 0.368, 0.217, 1, Thymus, mouse
nxph3, 0.911, 0.036, 0.361, 1, C2C12_EqS, mouse
nxph3, 0.753, 0.091, 0.614, 1, C2C12, mouse
nxph3, 0.980, 0.320, 0.120, 1, CH12, mouse
nxph3, 0.969, 0.377, 0.536, 1, E14_WholeBrain, mouse
nxph3, 0.979, 0.464, 0.112, 1, Erythroblast, mouse
nxph3, 0.739, 0.270, 0.355, 1, ESBruce4, mouse
nxph3, 0.957, 0.244, 0.606, 1, ES, mouse
nxph3, 0.976, 0.486, 0.152, 1, G1E_ER, mouse
nxph3, 0.982, 0.479, 0.095, 1, G1E, mouse
nxph3, 0.983, 0.250, 0.154, 1, Lymphoblast, mouse
nxph3, 0.987, 0.400, 0.507, 1, Megakaryocyte, mouse
nxph3, 0.864, 0.306, 0.097, 1, MEL, mouse
nxph3, 0.978, 0.438, 0.417, 1, NeuronalProgenitor_(EMTAB1822), mouse
nxph3, 0.978, 0.438, 0.417, 1, NeuronalProgenitor_(GSE54016), mouse
nxph3, 0.980, 0.320, 0.558, 1, Neuron, mouse
nxph3, , , , NA, Lymphoblast_PMC3334567, mouse
nxph3, , , 0.340, 1, GM12878, human
nxph3, , , 0.344, 1, K562, human
nxph3, , , 0.358, 1, H1ESC, human
nxph3, , , 0.251, 1, HSMM, human
nxph3, , , 0.364, 1, HUVEC, human
nxph3, , , 0.307, 1, HMEC, human
nxph3, , , 0.249, 1, HCC1954, human
nxph3, , , 0.340, 1, PBMC, human
nxph3, , , , NA, B_Cell, human
afap1l2, 0.616, 0.421, 0.419, 1, Fibroblast, mouse
afap1l2, 0.563, 0.125, 0.278, 1, Bcellcd43n, mouse
afap1l2, 0.627, 0.429, 0.478, 1, Heart, mouse
afap1l2, 0.244, 0.476, 0.475, 0, Kidney, mouse
afap1l2, 0.813, 0.346, 0.419, 1, Liver, mouse
afap1l2, 0.689, 0.412, 0.288, 1, SmIntestine, mouse
afap1l2, 0.714, 0.369, 0.436, 1, Spleen, mouse
afap1l2, 0.452, 0.321, 0.277, 0, Testis, mouse
afap1l2, 0.755, 0.291, 0.424, 1, Thymus, mouse
afap1l2, 0.573, 0.562, 0.612, 1, C2C12_EqS, mouse
afap1l2, 0.631, 0.499, 0.428, 1, C2C12, mouse
afap1l2, 0.785, 0.437, 0.357, 1, CH12, mouse
afap1l2, 0.706, 0.420, 0.335, 1, E14_WholeBrain, mouse
afap1l2, 0.671, 0.330, 0.396, 1, Erythroblast, mouse
afap1l2, 0.554, 0.266, 0.485, 1, ESBruce4, mouse
afap1l2, 0.708, 0.456, 0.388, 1, ES, mouse
afap1l2, 0.840, 0.308, 0.326, 1, G1E_ER, mouse
afap1l2, 0.724, 0.347, 0.288, 1, G1E, mouse
afap1l2, 0.911, 0.303, 0.154, 1, Lymphoblast, mouse
afap1l2, 0.803, 0.126, 0.268, 1, Megakaryocyte, mouse
afap1l2, 0.727, 0.134, 0.202, 1, MEL, mouse
afap1l2, 0.660, 0.418, 0.373, 1, NeuronalProgenitor_(EMTAB1822), mouse
afap1l2, 0.660, 0.418, 0.373, 1, NeuronalProgenitor_(GSE54016), mouse
afap1l2, 0.719, 0.355, 0.309, 1, Neuron, mouse
afap1l2, , , , NA, Lymphoblast_PMC3334567, mouse
afap1l2, , , 0.595, 1, GM12878, human
afap1l2, , , 0.312, 1, K562, human
afap1l2, , , 0.522, 1, H1ESC, human
afap1l2, , , 0.370, 1, HSMM, human
afap1l2, , , 0.164, 1, HUVEC, human
afap1l2, , , 0.828, 0, HMEC, human
afap1l2, , , 0.433, 0, HCC1954, human
afap1l2, , , 0.595, 1, PBMC, human
afap1l2, , , , NA, B_Cell, human
nrp1, 0.149, 0.740, 0.825, 0, Fibroblast, mouse
nrp1, 0.567, 0.323, 0.453, 1, Bcellcd43n, mouse
nrp1, 0.547, 0.994, 0.808, 0, Heart, mouse
nrp1, 0.698, 0.893, 0.655, 0, Kidney, mouse
nrp1, 0.350, 0.927, 0.788, 0, Liver, mouse
nrp1, 0.535, 0.530, 0.469, 1, SmIntestine, mouse
nrp1, 0.578, 0.520, 0.564, 1, Spleen, mouse
nrp1, 0.490, 0.380, 0.338, 1, Testis, mouse
nrp1, 0.452, 0.734, 0.547, 0, Thymus, mouse
nrp1, 0.371, 0.715, 0.571, 0, C2C12_EqS, mouse
nrp1, 0.088, 0.658, 0.633, 0, C2C12, mouse
nrp1, 0.485, 0.577, 0.512, 1, CH12, mouse
nrp1, 0.563, 0.630, 0.629, 0, E14_WholeBrain, mouse
nrp1, 0.460, 0.479, 0.312, 0, Erythroblast, mouse
nrp1, 0.935, 0.580, 0.192, 1, ESBruce4, mouse
nrp1, 0.649, 0.363, 0.304, 1, ES, mouse
nrp1, 0.645, 0.086, 0.362, 1, G1E_ER, mouse
nrp1, 0.552, 0.081, 0.439, 1, G1E, mouse
nrp1, 0.737, 0.455, 0.852, 1, Lymphoblast, mouse
nrp1, 0.701, 0.410, 0.515, 1, Megakaryocyte, mouse
nrp1, 0.591, 0.140, 0.200, 1, MEL, mouse
nrp1, 0.683, 0.589, 0.455, 1, NeuronalProgenitor_(EMTAB1822), mouse
nrp1, 0.683, 0.589, 0.455, 1, NeuronalProgenitor_(GSE54016), mouse
nrp1, 0.444, 0.684, 0.536, 0, Neuron, mouse
nrp1, , , , NA, Lymphoblast_PMC3334567, mouse
nrp1, , , 0.141, 1, GM12878, human
nrp1, , , 0.357, 1, K562, human
nrp1, , , 0.525, 0, H1ESC, human
nrp1, , , 0.906, 0, HSMM, human
nrp1, , , 0.969, 0, HUVEC, human
nrp1, , , 0.943, 0, HMEC, human
nrp1, , , 0.929, 0, HCC1954, human
nrp1, , , 0.141, 1, PBMC, human
nrp1, , , , NA, B_Cell, human
mdga1, 0.545, 0.514, 0.481, 1, Fibroblast, mouse
mdga1, 0.730, 0.242, 0.253, 1, Bcellcd43n, mouse
mdga1, 0.696, 0.297, 0.574, 1, Heart, mouse
mdga1, 0.726, 0.180, 0.423, 1, Kidney, mouse
mdga1, 0.867, 0.129, 0.518, 1, Liver, mouse
mdga1, 0.933, 0.271, 0.238, 1, SmIntestine, mouse
mdga1, 0.747, 0.261, 0.448, 1, Spleen, mouse
mdga1, 0.784, 0.229, 0.258, 1, Testis, mouse
mdga1, 0.673, 0.315, 0.510, 1, Thymus, mouse
mdga1, 0.795, 0.171, 0.478, 1, C2C12_EqS, mouse
mdga1, 0.782, 0.368, 0.496, 1, C2C12, mouse
mdga1, 0.884, 0.318, 0.373, 1, CH12, mouse
mdga1, 0.741, 0.591, 0.711, 1, E14_WholeBrain, mouse
mdga1, 0.893, 0.472, 0.532, 1, Erythroblast, mouse
mdga1, 0.549, 0.324, 0.353, 1, ESBruce4, mouse
mdga1, 0.903, 0.388, 0.433, 1, ES, mouse
mdga1, 0.783, 0.471, 0.383, 1, G1E_ER, mouse
mdga1, 0.922, 0.490, 0.460, 1, G1E, mouse
mdga1, 0.883, 0.315, 0.315, 1, Lymphoblast, mouse
mdga1, 0.856, 0.527, 0.780, 1, Megakaryocyte, mouse
mdga1, 0.624, 0.690, 0.377, 0, MEL, mouse
mdga1, 0.926, 0.419, 0.447, 1, NeuronalProgenitor_(EMTAB1822), mouse
mdga1, 0.926, 0.419, 0.447, 1, NeuronalProgenitor_(GSE54016), mouse
mdga1, 0.736, 0.615, 0.902, 0, Neuron, mouse
mdga1, , , , NA, Lymphoblast_PMC3334567, mouse
mdga1, , , 0.340, 1, GM12878, human
mdga1, , , 0.483, 1, K562, human
mdga1, , , 0.311, 1, H1ESC, human
mdga1, , , 0.428, 1, HSMM, human
mdga1, , , 0.387, 1, HUVEC, human
mdga1, , , 0.396, 1, HMEC, human
mdga1, , , 0.372, 0, HCC1954, human
mdga1, , , 0.340, 1, PBMC, human
mdga1, , , , NA, B_Cell, human
exoc6b, 0.415, 0.464, 0.532, 0, Fibroblast, mouse
exoc6b, 0.726, 0.452, 0.476, 1, Bcellcd43n, mouse
exoc6b, 0.608, 0.894, 0.595, 0, Heart, mouse
exoc6b, 0.755, 0.794, 0.484, 0, Kidney, mouse
exoc6b, 0.634, 0.648, 0.549, 0, Liver, mouse
exoc6b, 0.466, 0.542, 0.561, 0, SmIntestine, mouse
exoc6b, 0.771, 0.528, 0.483, 1, Spleen, mouse
exoc6b, 0.409, 0.573, 0.502, 0, Testis, mouse
exoc6b, 0.624, 0.526, 0.485, 1, Thymus, mouse
exoc6b, 0.446, 0.579, 0.465, 0, C2C12_EqS, mouse
exoc6b, 0.394, 0.523, 0.479, 0, C2C12, mouse
exoc6b, 0.656, 0.440, 0.408, 1, CH12, mouse
exoc6b, 0.231, 0.509, 0.506, 0, E14_WholeBrain, mouse
exoc6b, 0.440, 0.360, 0.401, 0, Erythroblast, mouse
exoc6b, 0.665, 0.677, 0.517, 0, ESBruce4, mouse
exoc6b, 0.268, 0.494, 0.468, 0, ES, mouse
exoc6b, 0.734, 0.286, 0.408, 1, G1E_ER, mouse
exoc6b, 0.700, 0.300, 0.452, 1, G1E, mouse
exoc6b, 0.529, 0.477, 0.571, 1, Lymphoblast, mouse
exoc6b, 0.566, 0.338, 0.437, 1, Megakaryocyte, mouse
exoc6b, 0.252, 0.628, 0.466, 0, MEL, mouse
exoc6b, 0.318, 0.485, 0.454, 0, NeuronalProgenitor_(EMTAB1822), mouse
exoc6b, 0.318, 0.485, 0.454, 0, NeuronalProgenitor_(GSE54016), mouse
exoc6b, 0.277, 0.430, 0.479, 0, Neuron, mouse
exoc6b, , , , NA, Lymphoblast_PMC3334567, mouse
exoc6b, , , 0.553, 1, GM12878, human
exoc6b, , , 0.529, 1, K562, human
exoc6b, , , 0.800, 0, H1ESC, human
exoc6b, , , 0.616, 0, HSMM, human
exoc6b, , , 0.811, 0, HUVEC, human
exoc6b, , , 0.730, 0, HMEC, human
exoc6b, , , 0.661, 0, HCC1954, human
exoc6b, , , 0.553, 0, PBMC, human
exoc6b, , , , NA, B_Cell, human
zfand3, 0.229, 0.668, 0.651, 0, Fibroblast, mouse
zfand3, 0.302, 0.643, 0.660, 0, Bcellcd43n, mouse
zfand3, 0.329, 0.888, 0.721, 0, Heart, mouse
zfand3, 0.361, 0.609, 0.692, 0, Kidney, mouse
zfand3, 0.257, 0.677, 0.759, 0, Liver, mouse
zfand3, 0.248, 0.618, 0.792, 0, SmIntestine, mouse
zfand3, 0.228, 0.631, 0.698, 0, Spleen, mouse
zfand3, 0.375, 0.647, 0.811, 0, Testis, mouse
zfand3, 0.301, 0.653, 0.818, 0, Thymus, mouse
zfand3, 0.203, 0.677, 0.681, 0, C2C12_EqS, mouse
zfand3, 0.282, 0.657, 0.640, 0, C2C12, mouse
zfand3, 0.255, 0.630, 0.512, 0, CH12, mouse
zfand3, 0.345, 0.569, 0.721, 0, E14_WholeBrain, mouse
zfand3, 0.173, 0.615, 0.723, 0, Erythroblast, mouse
zfand3, 0.314, 0.637, 0.672, 0, ESBruce4, mouse
zfand3, 0.246, 0.604, 0.483, 0, ES, mouse
zfand3, 0.240, 0.627, 0.599, 0, G1E_ER, mouse
zfand3, 0.249, 0.620, 0.561, 0, G1E, mouse
zfand3, 0.259, 0.605, 0.815, 0, Lymphoblast, mouse
zfand3, 0.131, 0.652, 0.764, 0, Megakaryocyte, mouse
zfand3, 0.197, 0.880, 0.673, 0, MEL, mouse
zfand3, 0.174, 0.629, 0.569, 0, NeuronalProgenitor_(EMTAB1822), mouse
zfand3, 0.174, 0.629, 0.569, 0, NeuronalProgenitor_(GSE54016), mouse
zfand3, 0.208, 0.474, 0.538, 0, Neuron, mouse
zfand3, , , , NA, Lymphoblast_PMC3334567, mouse
zfand3, , , 0.862, 0, GM12878, human
zfand3, , , 0.773, 0, K562, human
zfand3, , , 0.798, 0, H1ESC, human
zfand3, , , 0.915, 0, HSMM, human
zfand3, , , 0.751, 0, HUVEC, human
zfand3, , , 0.814, 0, HMEC, human
zfand3, , , 0.841, 0, HCC1954, human
zfand3, , , 0.862, 0, PBMC, human
zfand3, , , , NA, B_Cell, human
fam81a, 0.830, 0.271, 0.203, 1, Fibroblast, mouse
fam81a, 0.885, 0.400, 0.316, 1, Bcellcd43n, mouse
fam81a, 0.667, 0.340, 0.455, 1, Heart, mouse
fam81a, 0.606, 0.509, 0.529, 1, Kidney, mouse
fam81a, 0.668, 0.362, 0.195, 1, Liver, mouse
fam81a, 0.854, 0.218, 0.239, 1, SmIntestine, mouse
fam81a, 0.848, 0.318, 0.205, 1, Spleen, mouse
fam81a, 0.570, 0.343, 0.306, 1, Testis, mouse
fam81a, 0.858, 0.399, 0.373, 1, Thymus, mouse
fam81a, 0.801, 0.309, 0.352, 1, C2C12_EqS, mouse
fam81a, 0.746, 0.282, 0.448, 1, C2C12, mouse
fam81a, 0.809, 0.310, 0.350, 1, CH12, mouse
fam81a, 0.764, 0.456, 0.400, 1, E14_WholeBrain, mouse
fam81a, 0.775, 0.346, 0.293, 1, Erythroblast, mouse
fam81a, 0.615, 0.517, 0.434, 1, ESBruce4, mouse
fam81a, 0.671, 0.506, 0.495, 1, ES, mouse
fam81a, 0.834, 0.221, 0.424, 1, G1E_ER, mouse
fam81a, 0.774, 0.244, 0.349, 1, G1E, mouse
fam81a, 0.949, 0.322, 0.353, 1, Lymphoblast, mouse
fam81a, 0.827, 0.195, 0.289, 1, Megakaryocyte, mouse
fam81a, 0.898, 0.215, 0.329, 1, MEL, mouse
fam81a, 0.841, 0.338, 0.320, 1, NeuronalProgenitor_(EMTAB1822), mouse
fam81a, 0.841, 0.338, 0.320, 1, NeuronalProgenitor_(GSE54016), mouse
fam81a, 0.688, 0.587, 0.467, 1, Neuron, mouse
fam81a, , , , NA, Lymphoblast_PMC3334567, mouse
fam81a, , , 0.696, 0, GM12878, human
fam81a, , , 0.152, 1, K562, human
fam81a, , , 0.382, 1, H1ESC, human
